#{"t_start": 1770588151.5883014, "env_id": "LunarLander-v3"}
r,l,t
-53.401116,79,10.603519
-77.887473,85,10.662287
-35.452832,90,10.72254
-91.273936,108,10.794147
-60.405672,125,10.876969
-71.335062,106,10.949303
-90.35414,125,11.031788
-75.175439,110,11.103935
-103.55337,93,11.16529
-31.690698,72,11.214937
-45.706613,134,11.303221
-63.044785,127,11.96227
-134.930596,106,12.023543
-56.813743,74,12.067057
-129.111387,133,12.143347
-102.707222,131,12.219361
-37.872778,101,12.277663
-110.919065,125,12.353749
-76.293416,91,12.404401
-110.096207,120,12.47485
-18.656041,106,12.536957
-65.897095,68,12.57812
-13.722,105,12.638424
-67.467355,124,12.711343
-55.385556,117,12.78666
-66.494796,61,12.82938
-68.784508,136,12.914653
-60.184604,72,12.958317
-134.802881,98,13.01776
-120.572287,112,13.102723
-51.111579,77,13.148702
-93.499573,84,13.199765
-77.506804,104,13.263077
-11.04585,94,13.323764
-92.535348,99,13.382855
-83.694747,98,13.443126
1.836034,73,13.486869
-93.335516,138,13.573011
-58.748979,122,13.645246
-53.166196,130,13.724474
-284.929838,103,13.785874
-46.423972,80,13.836582
-111.403713,98,13.892768
-82.599445,66,13.933893
-67.758324,144,14.021745
-34.524413,69,14.06486
-17.900383,99,14.12637
-27.423547,128,14.204009
-107.593756,114,14.272342
-86.975229,120,14.349308
-75.655355,100,14.410669
-116.446997,137,14.492769
-92.597539,84,14.544531
-73.766077,128,14.62406
-31.20031,89,14.680798
-58.016753,95,14.73588
-76.093498,157,14.832138
-128.838141,103,14.894405
-52.477555,158,14.994837
-76.176915,96,15.053712
-96.511701,91,15.108977
-88.756724,118,15.18178
10.59067,92,15.237529
-47.063158,140,15.324813
-45.109165,203,15.452235
-68.817545,69,15.495576
-114.793326,84,15.547545
-119.474942,120,15.621375
-97.507876,77,15.668528
-85.172113,95,15.725487
-7.464644,90,15.779744
-32.252107,194,15.896161
-53.77998,122,15.970505
-52.303773,85,16.022947
-68.873476,126,16.100766
-62.519805,87,16.154268
-75.067446,108,16.221822
-71.369524,99,16.283703
-44.387151,97,16.343631
-40.374876,145,16.431562
-29.850894,109,16.500988
-78.175875,94,16.557924
-87.659927,112,16.626915
-60.905524,123,16.703147
-77.671667,84,16.754882
-93.992269,77,16.802372
-56.347976,75,16.849784
-61.27307,82,16.899365
-93.670099,91,16.956196
-50.069213,155,17.054286
-60.982075,90,17.108434
-76.900755,85,17.163582
-38.890722,137,17.24716
-40.959581,103,17.312393
-65.129924,92,17.368201
-63.856444,118,17.44088
-80.666509,145,17.529129
-58.284411,116,17.601315
-15.53884,78,17.652066
-78.770415,88,17.705032
-42.564607,86,17.758397
-37.693296,137,17.859729
-53.979189,122,17.933117
-53.815945,91,17.989434
-78.585266,71,18.033195
8.055096,140,18.129891
-69.193914,92,18.187257
-38.592317,128,18.266216
-80.957022,116,18.338946
5.028968,75,18.385482
-66.209612,115,18.455586
-54.648488,84,18.507388
-54.846931,72,18.550677
-46.401474,115,18.624638
-41.791844,86,18.67823
-37.633085,156,18.775358
-56.693353,92,18.831466
-39.111029,99,18.894357
-36.79983,132,18.976568
-32.033116,126,19.056558
1.625679,132,19.138676
-74.615448,80,19.190335
-53.277458,99,19.249638
-22.773558,94,19.308728
-32.996657,115,19.381299
-64.518372,117,19.45487
-49.405139,123,19.530366
-39.785207,91,19.584017
-11.83834,146,19.67875
-74.68303,119,19.754541
-0.96827,104,19.818595
-28.165509,163,19.921934
-28.037959,105,19.991915
-52.234732,74,20.039349
-49.21816,90,20.098425
-106.422411,95,20.158614
-88.157758,97,20.22252
-233.254721,219,20.361273
-40.465041,75,20.408345
-78.411219,63,20.447446
-118.427467,102,20.508989
-28.038205,133,20.594582
-50.335423,141,20.682973
-26.371062,81,20.733122
6.411081,146,20.824366
-35.799709,126,20.905836
-90.361876,60,20.942201
-34.761975,111,21.012041
-52.242027,82,21.062945
-90.516055,160,21.1634
-76.423572,66,21.204772
-54.723515,74,21.251889
-32.351849,85,21.305716
-42.266098,169,21.410457
-68.67655,204,21.536703
-10.891117,128,21.617736
-21.021164,98,21.67966
-34.393482,77,21.729108
-29.609396,142,21.818495
-31.817043,76,21.867132
-21.719878,94,21.926067
-80.787067,96,21.986249
-30.299815,123,22.061772
-82.678855,79,22.109752
-86.919577,78,22.159186
-82.897262,112,22.228623
-111.166892,121,22.304718
-48.827446,136,22.392179
-54.077258,108,22.461723
-61.938233,98,22.524439
-51.485154,81,22.576519
-27.37422,103,22.639988
21.582232,127,22.72189
-61.141639,93,22.779968
-44.606498,117,22.858612
-57.140781,67,22.90025
-53.05883,93,22.962104
-55.057686,77,23.010127
-85.317353,92,23.067506
-62.663465,80,23.1272
-60.65026,98,23.18539
-54.49296,137,23.268525
-57.035102,86,23.319638
-5.46957,77,23.364619
-35.793786,128,23.441365
-12.972316,91,23.497255
-8.011648,115,23.566506
7.958627,82,23.615205
-91.575832,102,23.676922
-95.480178,107,23.742359
-41.058076,128,23.820756
-66.782203,117,23.890432
-94.066328,96,23.948643
-81.622261,104,24.012489
-57.341476,97,24.071543
-49.39852,111,24.139452
35.796588,111,24.208557
-46.975971,167,24.31017
-81.415695,107,24.374968
-39.225859,110,24.442867
-34.482714,100,24.502843
-41.108231,89,24.558705
-56.809067,65,24.597716
-85.980796,103,24.66045
-76.148134,116,24.732369
-52.695547,72,24.776865
-37.591725,74,24.823307
-51.523099,115,24.894708
-22.473089,97,24.95267
-61.707759,119,25.029789
-70.558091,105,25.093507
2.122884,105,25.158847
-134.753475,477,25.464545
-11.242295,120,25.538948
-19.006424,115,25.611469
-247.206775,959,26.202016
-75.345816,127,26.278817
11.541437,113,26.350053
-80.16287,98,26.410179
-45.770995,64,26.449391
33.407936,117,26.521136
13.885739,84,26.572845
-33.664626,134,26.654298
-83.111592,94,26.711594
-123.784133,122,26.789367
