#{"t_start": 1770588543.3134785, "env_id": "LunarLander-v3"}
r,l,t
-94.507775,111,0.743605
-78.375399,84,0.813884
-187.322819,76,0.877922
-139.341336,102,0.964135
-414.747761,88,1.037813
-119.752173,82,1.107696
-289.904702,106,1.197299
-422.697965,118,1.296171
-296.882749,82,1.366127
-409.466826,91,1.44307
-348.14252,106,2.046075
-234.14437,88,2.120994
-74.409922,61,2.171837
-103.636465,81,2.240252
-94.935193,91,2.317213
-134.184435,80,2.384871
-420.017212,97,2.466366
-198.409888,90,2.543335
-155.266484,63,2.596531
-84.21542,68,2.653997
-130.561721,79,2.730295
-95.574887,101,2.815751
8.239448,77,2.880934
-29.962484,149,3.519169
-146.172275,80,3.587277
-110.982304,86,3.660108
-89.210852,69,3.719339
-202.246062,80,3.787718
-126.735415,121,3.890624
-113.629223,140,4.010339
-144.175023,91,4.086463
-92.210402,84,4.157499
-116.493026,77,4.2226
-254.298331,114,4.852716
-168.584523,80,5.33878
-367.966248,92,5.416142
-87.357593,88,5.490543
-134.359032,111,5.584682
-85.027571,76,5.648544
-48.513716,79,5.716018
-110.284564,113,5.812082
-79.300571,68,5.869668
-165.270919,158,6.003811
-209.115358,97,6.086063
-144.51757,107,6.690839
-212.935997,133,6.801256
-116.588029,97,6.882435
-142.603776,85,6.954284
-20.793601,230,7.148482
-108.922464,167,7.289575
-110.062493,108,7.38138
-112.572877,106,7.470282
-313.281968,173,8.13481
-296.737444,155,8.2651
-57.772346,137,8.38083
-110.301004,144,8.501728
-333.634395,145,8.623351
-239.345591,148,8.748138
-118.594814,120,8.848412
-107.759724,117,9.395463
-70.085669,98,10.026221
-246.89764,107,10.105119
-290.652404,138,10.207869
-89.416343,84,10.271072
-58.775362,76,10.329394
-99.187533,126,10.42225
-214.681701,99,10.496901
-335.248316,132,10.594597
-193.754153,122,11.206192
-287.757051,120,11.306649
-104.302908,82,11.37609
-168.580118,153,11.507055
-89.035919,105,11.595457
-224.009347,167,11.736564
-242.932643,177,11.886824
-118.077895,171,12.506846
-71.235124,92,12.572987
2.548859,211,12.724497
9.400391,100,12.795421
-178.465279,100,12.865607
-159.608726,149,12.971987
-103.485214,108,13.063435
-145.614846,153,13.193349
-88.758615,169,13.875071
-274.427447,144,14.56528
-95.504982,119,14.668112
-64.299829,173,14.816455
-31.367241,98,14.899863
-52.296767,112,14.995787
-50.432798,95,15.076487
-5.471342,122,15.178694
-271.788909,264,15.921787
-69.856811,123,16.024162
-104.603189,148,16.14782
-184.998864,118,16.247525
-21.239026,107,16.337059
-202.132725,117,16.438238
-55.597613,158,16.573358
-111.2581,152,17.232948
-31.90457,185,17.392395
-76.400128,213,17.576477
-57.303782,249,17.788008
43.774486,1000,19.786566
14.720957,165,19.906763
-7.608107,155,20.017826
6.277315,125,20.600475
24.297063,119,20.685494
-39.063308,259,20.871239
-94.00539,165,20.990494
-181.685602,170,21.114349
-291.13275,194,21.257727
-49.424589,110,21.887807
1.938179,132,22.003492
-227.547656,207,22.182765
-16.480449,163,22.322583
18.239697,165,22.461382
-127.480049,175,22.607311
1.449223,181,23.250697
-161.109436,235,23.91601
62.248015,175,24.067682
-79.175624,241,24.278077
-111.650938,230,24.480825
-32.558375,130,25.140725
-0.15164,142,25.259228
-204.776041,178,25.412744
-86.588354,273,25.650785
-20.027043,301,25.913099
-46.594465,228,26.629496
-21.646253,300,26.886861
6.94579,145,27.010485
-83.796949,181,27.166116
39.226401,172,27.314488
30.043925,181,27.921747
-29.010766,198,28.68278
-66.95398,404,28.989833
34.416453,1000,30.227661
-80.226029,294,30.44799
-238.128833,349,31.155103
-15.800154,236,31.325047
83.870699,1000,33.342214
-186.5599,576,34.283986
84.185754,1000,35.507567
3.67006,617,35.952249
-145.590376,327,36.647429
28.631849,1000,38.845071
55.569265,1000,40.001781
-92.417994,1000,41.160429
-25.949971,1000,43.741088
-101.500494,1000,45.080364
-101.510624,1000,46.415834
-73.829836,1000,48.973161
-29.178563,1000,50.143418
-19.925747,1000,51.303154
-13.45612,1000,53.846099
-32.537349,1000,55.193092
-58.646605,1000,56.532892
-36.48873,1000,59.239351
-3.346292,1000,60.423075
-14.67398,1000,61.711461
8.417862,1000,63.025759
17.743112,1000,65.744506
57.857898,1000,67.130487
33.512493,1000,68.412014
-97.116451,817,70.864077
12.415255,1000,72.104037
24.881271,1000,73.346718
129.217496,746,75.7161
61.125215,1000,76.894407
56.731787,1000,77.610149
41.455757,1000,80.073747
70.047799,1000,81.319956
34.216804,1000,82.535229
75.706551,1000,85.123597
-74.602827,683,86.248774
93.579557,1000,87.513852
-53.28838,663,88.54909
125.94299,676,89.136966
74.393669,1000,91.852885
163.497022,679,92.964705
70.237838,1000,94.359582
58.015922,1000,97.09032
88.595781,1000,98.506085
182.408005,559,98.974153
164.966549,629,99.933886
-45.122969,419,100.243683
55.200205,1000,102.6476
