#{"t_start": 1770588543.313063, "env_id": "LunarLander-v3"}
r,l,t
-196.347908,93,0.727786
-106.027519,86,0.800115
-203.179389,104,0.889271
-115.593047,104,0.976125
-393.484482,89,1.051272
-358.509668,99,1.135199
-515.341552,106,1.224772
-266.902988,130,1.333768
-89.863109,57,1.382306
-192.386374,94,1.461993
-107.484607,92,2.053799
-124.539552,71,2.113362
-131.221552,107,2.203064
-154.597215,101,2.289093
-164.541619,114,2.384919
-122.73537,68,2.441888
-252.388708,104,2.530882
-156.6221,133,2.643442
-60.824597,125,2.75882
-107.044359,90,2.83427
-76.108944,89,3.422171
-115.564527,71,3.481712
-117.772674,93,3.561616
-195.933162,130,3.672363
-339.016826,111,3.767192
-209.113206,76,3.831539
-67.704235,58,3.880785
-268.570134,135,3.996191
-252.074554,161,4.131745
-211.175348,98,4.214512
-85.68019,63,4.267592
-104.624565,110,5.312255
-115.644934,106,5.401694
-169.912288,127,5.510677
-89.058887,94,5.589504
-243.266449,105,5.677608
-72.368555,109,5.7707
-81.273817,79,5.837931
-277.576261,129,5.947575
-100.847671,136,6.061269
-214.840188,128,6.684763
-266.802668,94,6.763389
-146.747757,88,6.836462
-57.588626,74,6.898708
-63.166825,85,6.970995
-180.764319,93,7.048551
-86.294505,64,7.103116
-114.267799,119,7.203496
-220.041455,123,7.307692
-20.233389,98,7.391012
-411.676708,157,8.041838
-122.341763,142,8.160522
-233.408326,114,8.256782
-45.196197,157,8.390033
-170.276783,136,8.504155
-370.568076,148,8.628184
-520.163792,133,8.739672
-113.329957,198,9.360581
-20.454932,109,9.999453
-142.701441,151,10.11029
-58.478375,87,10.174363
-96.516385,120,10.264962
-70.914416,83,10.328052
-76.887987,109,10.408266
-139.083841,97,10.482254
-139.88652,107,10.560575
-370.435228,134,11.177355
-171.094467,95,11.257471
-199.860079,98,11.340657
-89.387123,82,11.410283
-341.668625,129,11.521107
-278.77322,108,11.61129
-129.06648,155,11.742654
-247.918101,172,11.888398
-131.981814,82,11.957255
-46.817817,134,12.541137
-88.818596,84,12.601166
-61.581211,129,12.692831
-74.144821,130,12.785873
25.18611,126,12.875336
-174.457086,108,12.95155
-29.36192,91,13.016963
-290.565757,209,13.202522
-102.659172,93,13.818062
-175.330871,123,13.924529
-64.983447,73,14.553184
-138.025485,151,14.683825
-68.983843,161,14.822262
-235.10903,173,14.969239
-35.212904,146,15.093622
-169.925919,108,15.184751
-61.598304,125,15.810655
-59.680729,142,15.929989
-55.022489,154,16.058935
-25.576801,175,16.204938
-183.106233,207,16.379864
-7.071154,175,16.530173
93.120248,1000,17.914485
23.140394,108,18.005767
-230.419476,182,18.718016
-31.623127,211,19.533402
-9.240411,182,19.665241
-18.154554,180,19.796798
22.555615,112,19.87751
-7.511699,180,20.00743
-35.899746,212,20.653117
-34.744415,331,20.890367
-15.270241,179,21.019566
92.1662,1000,22.376567
15.321689,175,22.523259
-31.525244,173,22.667031
-46.002104,162,23.296142
-43.988399,184,23.917551
-131.430616,201,24.092104
-68.779436,195,24.261599
-55.613126,231,24.465914
-50.777052,229,25.208004
-38.124497,228,25.403176
-87.196951,178,25.55834
12.752854,257,25.781882
-11.909217,323,26.580899
-26.540208,314,26.851742
7.530257,284,27.095393
-161.826874,204,27.270863
82.309022,1000,29.117569
95.224035,1000,30.353521
-235.511017,426,31.118124
119.079063,1000,32.328906
117.371156,1000,34.38648
51.924031,1000,35.613782
-128.347307,773,36.160523
1.150373,1000,38.815585
26.556355,1000,39.977611
-111.160382,1000,41.136945
-33.49927,1000,43.712906
30.863289,1000,45.052768
-27.381941,1000,46.388112
-42.162748,1000,48.949649
-47.019933,1000,50.119365
-88.184426,1000,51.279146
-9.95528,1000,53.817359
-57.06475,1000,55.16517
-50.452724,1000,56.504482
-64.825895,1000,59.215658
46.839266,1000,60.398585
-25.899775,1000,61.683144
-124.873251,899,62.91564
68.772422,1000,65.624855
138.655212,964,66.981157
-78.409118,827,68.167409
12.511736,1000,70.743769
143.315224,761,71.313095
50.30011,1000,72.564435
38.517798,1000,75.136528
72.162213,1000,76.327645
-55.049793,499,77.145372
58.500039,1000,78.336896
166.569924,524,79.979959
67.021765,1000,81.225207
158.81579,760,82.267782
59.705707,1000,83.505456
48.179124,1000,86.208977
61.04233,1000,87.480114
80.215504,1000,88.81223
69.978259,1000,91.520823
58.763941,1000,92.908533
51.300585,1000,94.303714
-70.669847,641,96.724289
-46.816296,554,97.203366
-81.761646,605,98.279768
73.416922,1000,99.59178
-106.470991,657,100.08533
145.522444,734,102.291204
