#{"t_start": 1770588543.3126469, "env_id": "LunarLander-v3"}
r,l,t
-86.297356,102,0.7359
-176.723451,111,0.829519
-239.190568,67,0.886764
-357.371948,92,0.963684
-89.591084,68,1.02134
-97.049294,98,1.104085
-432.220972,87,1.177384
-561.120826,103,1.26392
-323.529923,84,1.335293
-409.164702,116,1.433573
-123.484363,92,1.512684
-125.06114,86,2.097561
-314.445261,132,2.209116
-56.850548,67,2.264944
-213.817946,125,2.371107
20.284768,186,2.528478
-84.69709,68,2.586244
-145.28856,102,2.673025
-341.283602,113,2.777242
-142.467035,88,2.852122
-176.220544,126,3.469763
-162.591966,89,3.546891
-122.985705,95,3.627583
-271.485604,78,3.694493
-42.92128,79,3.761239
-337.51623,116,3.860556
-368.152313,145,3.983517
-58.383277,70,4.04267
-126.846797,66,4.09836
-215.96042,130,4.207594
-90.407872,96,4.823583
-46.258121,80,5.308153
-44.201392,129,5.418081
-197.541577,105,5.507087
-125.717795,93,5.585105
-82.887563,113,5.680883
-85.538807,93,5.759197
-419.676826,105,5.849282
-302.135596,147,5.973429
-377.652457,132,6.085564
-116.62197,151,6.726825
-119.734864,123,6.829153
-109.01837,149,6.954668
-105.09658,153,7.083958
-97.020987,89,7.159568
-72.467738,79,7.22602
-128.330615,88,7.300494
-113.438782,87,7.374071
-83.387878,75,7.437437
-72.026791,62,8.005479
-159.317711,189,8.167039
-55.560183,81,8.235753
-188.306863,117,8.334089
-209.77646,92,8.412292
-263.866522,211,8.589252
-74.47684,75,8.652336
-69.028265,64,8.705636
-82.840154,105,8.793423
-35.275493,80,8.861215
-68.441701,77,9.377555
-59.209512,81,9.995729
-31.10532,79,10.053061
-103.600603,123,10.144249
-17.496637,92,10.213121
-191.098921,101,10.289823
-220.436208,123,10.38196
-43.144102,117,10.469114
-95.646857,99,10.543202
-20.961495,130,10.640212
-271.684831,128,11.26155
-130.501012,140,11.379719
-177.232649,147,11.504833
-88.641279,165,11.644563
-32.038185,112,11.739359
-26.014329,109,11.830598
-143.177477,146,11.954391
-126.312485,124,12.53232
-27.110986,113,12.61327
-55.430874,113,12.692952
-207.955109,107,12.769842
-128.799754,172,12.892361
33.120375,110,12.969598
-66.376271,187,13.128182
-68.647048,100,13.213689
-109.745783,196,13.917835
-265.832489,151,14.613828
-64.698148,202,14.787422
-67.351839,144,14.911461
-55.406347,125,15.017632
-168.784004,166,15.156313
-99.477521,138,15.795135
-52.330032,146,15.917185
-269.461173,154,16.046773
-22.981431,132,16.157127
-183.14022,115,16.253639
-1.426069,174,16.401369
-97.087223,134,16.515587
-170.468106,133,16.630353
-170.760313,123,17.265758
12.972276,125,17.372461
-46.536242,211,17.555344
-34.23276,243,17.761572
-52.091809,154,17.891288
-17.124028,179,18.053343
-73.285631,123,18.70466
1.349551,152,19.479908
-48.729348,145,19.584624
-57.738941,147,19.691453
-122.072083,186,19.826974
29.044228,115,19.910666
31.988068,120,19.995708
-53.75021,185,20.621953
-55.895711,270,20.816225
-0.127558,105,20.891736
-2.03381,181,21.022368
19.784917,134,21.119755
-199.637003,188,21.258199
-88.300122,140,21.915531
-66.36815,194,22.083949
-114.527885,233,22.285102
5.697165,116,22.384086
4.884188,259,22.599491
40.414672,1000,24.418299
-40.934814,251,25.181996
10.794061,195,25.346374
-38.422656,202,25.523051
32.40179,1000,26.908498
5.26477,194,27.074018
-79.06139,1000,28.943256
-36.254849,275,29.153452
-137.069155,189,29.768032
-84.65162,555,30.194594
-60.391715,232,30.370372
-78.672919,222,30.987689
91.939845,1000,32.194363
64.872905,1000,34.252544
18.478321,312,34.48489
-87.154923,326,34.736299
-110.552428,581,35.641419
35.111218,1000,36.81717
-79.766164,1000,39.462883
-65.985528,1000,40.628329
-141.080008,1000,41.78693
-31.542912,1000,44.44797
-52.910872,1000,45.785577
-44.71362,1000,47.046203
-43.585962,1000,49.589584
119.894986,936,50.264195
8.054849,1000,51.417605
-82.470088,1000,53.982568
-46.58752,1000,55.32865
-32.219785,1000,56.671104
-56.491718,1000,59.354576
-46.412582,1000,60.539158
-7.90094,1000,61.849597
9.808999,1000,64.533876
14.992922,1000,65.883972
40.617246,1000,67.270042
154.209348,919,68.47289
129.799667,824,70.93485
74.952074,1000,72.175536
39.105665,1000,73.418473
79.109935,1000,75.963795
162.04246,786,76.991455
152.004377,751,77.524777
65.880287,1000,79.984937
42.161905,1000,81.23053
74.775548,1000,82.450316
-69.032514,689,83.457326
81.833121,1000,86.153361
195.428102,841,87.31107
94.481594,1000,88.612596
48.852425,1000,91.328226
142.487604,698,91.930297
71.812993,1000,93.319989
56.919415,1000,94.726001
-51.050994,572,97.074238
41.525566,1000,98.4914
54.887198,1000,99.779776
69.748495,1000,102.179879
