#{"t_start": 1770588543.3138692, "env_id": "LunarLander-v3"}
r,l,t
-173.670502,132,0.760346
-173.830285,109,0.851852
-125.214267,112,0.946422
-134.415081,63,1.000097
-62.864291,68,1.057342
-75.845388,77,1.122194
-226.032118,106,1.212393
-111.202193,99,1.294699
-319.462828,112,1.390924
-144.456769,89,1.465791
-145.567189,78,2.044439
-115.037524,67,2.101727
-156.547282,70,2.160568
-147.49866,64,2.215165
-122.311496,67,2.27076
-144.185767,91,2.34794
-187.962808,107,2.437438
-354.217919,84,2.50884
-164.960499,72,2.570622
-238.043295,75,2.634214
-392.992327,98,2.726301
-63.423995,102,2.812586
-76.493598,64,2.866754
-55.063166,120,3.47981
-184.198177,115,3.578272
-223.203661,109,3.671962
-101.376843,75,3.735028
-59.093203,106,3.825468
-111.385455,92,3.904404
-89.068324,67,3.960705
-142.101798,72,4.022598
-83.791339,98,4.104948
-286.069055,128,4.212628
-64.568503,82,4.28234
-87.353399,108,5.325156
-109.248793,121,5.428862
-92.502667,84,5.498745
-159.436926,87,5.572026
-70.978097,66,5.628376
-90.580338,81,5.696798
-176.581034,129,5.806014
-115.168274,125,5.912441
-73.856876,103,5.99991
-72.26629,74,6.061754
-105.139223,84,6.646965
-151.603874,118,6.746528
-286.629816,146,6.868777
-259.893221,104,6.95673
-147.828431,108,7.046585
-55.499577,105,7.135883
-95.814499,146,7.259175
-173.364273,120,7.360472
-260.866757,131,7.471864
-24.623478,85,8.062043
-49.035811,85,8.13294
-57.481726,77,8.197476
-225.758558,205,8.370488
-66.884722,110,8.463732
-113.524368,86,8.535931
-152.491852,91,8.611936
-78.946146,84,8.683228
-49.605911,147,8.806195
-226.817295,141,9.376732
-108.022202,76,9.9891
-71.975805,158,10.107157
-121.749282,103,10.183978
-152.810787,89,10.250413
-71.532298,73,10.304849
-82.386793,135,10.405374
-90.057153,145,10.515657
-55.382904,90,10.581667
-325.640294,150,11.216151
-99.711487,151,11.342776
-104.348427,110,11.436142
-79.367366,95,11.517589
-252.768802,182,11.670624
-252.502742,118,11.769881
-119.179785,94,11.849673
17.609862,129,11.959466
-104.492556,145,12.550371
-238.609202,125,12.640128
-77.407235,176,12.764866
-101.476854,203,12.909671
-32.032654,108,12.987013
-290.039325,140,13.107032
92.068823,1000,15.066641
-91.883787,156,15.198806
6.351956,131,15.829098
-208.76057,197,15.994223
-183.336258,188,16.151548
-46.159812,104,16.238587
-105.077963,165,16.377929
-10.463118,119,16.479982
-24.781199,143,16.603414
-210.337146,176,17.284544
-189.850308,174,17.433982
-172.67531,112,17.530678
-98.025678,197,17.697078
-18.10449,132,17.810645
-151.286961,239,18.012354
-207.161779,185,18.727015
137.629673,1000,20.604638
-21.107805,133,20.70141
154.623481,1000,21.994076
1.814598,168,22.140133
32.973765,155,22.273666
-19.471963,196,22.439496
-132.774055,239,22.638743
52.293059,1000,24.459513
5.061267,257,25.225989
-40.325886,146,25.350091
-18.99696,333,25.640535
10.333151,207,25.820856
-30.501943,250,26.555114
-48.232084,240,26.763486
142.955199,1000,28.667176
38.813821,1000,29.90027
32.830988,217,30.069798
-272.208956,360,30.34323
-173.352259,487,31.152294
-186.620355,371,31.422236
-157.742467,335,32.144794
-160.395879,303,32.370659
-11.629014,234,33.345698
-88.79906,270,33.579826
-77.91471,421,34.371756
65.678434,1000,35.599675
-170.997213,771,36.14512
-194.882487,781,38.599951
-171.786368,984,39.794188
-54.225772,1000,40.959187
-44.801094,1000,43.504317
-45.834042,1000,44.841991
-83.373398,1000,46.178079
-78.278035,1000,48.768941
-38.439452,1000,49.929801
-5.453073,1000,51.103017
31.234615,1000,52.233946
-47.875139,1000,54.955286
-19.922423,1000,56.294297
-46.032822,1000,57.619635
-32.534069,1000,60.216414
-7.651075,1000,61.473798
-11.57841,1000,62.790508
15.60794,1000,65.494344
22.466414,1000,66.878745
-80.251977,795,68.048315
48.928454,1000,70.630718
-81.611232,783,71.21809
67.605678,1000,72.468341
117.682651,739,73.508439
-100.840746,607,75.76793
179.896342,746,76.300595
152.897516,754,77.29643
-121.587066,656,78.245959
34.221023,1000,80.724606
129.089038,680,81.248972
165.7077,587,82.162353
42.512345,1000,83.396752
-83.406616,531,85.145058
143.020945,746,86.324111
61.705886,1000,87.577097
98.740839,1000,88.925927
-108.71801,622,91.309595
-101.918606,535,91.768889
-84.174176,666,92.870897
50.355589,1000,94.265181
132.524739,741,96.773537
82.851127,1000,98.191044
-62.260463,468,98.590809
-93.35842,600,99.565171
137.921425,673,100.072497
64.326168,1000,102.479311
