#{"t_start": 1770588543.3121579, "env_id": "LunarLander-v3"}
r,l,t
-129.265312,106,0.740426
-270.718347,126,0.845818
-192.41608,75,0.910083
-393.129263,111,1.003709
-215.171864,103,1.089974
-252.795589,84,1.161143
-235.762247,96,1.24244
-170.784968,91,1.317845
-135.56101,83,1.389349
-324.63101,75,1.452678
-75.724329,61,1.505387
-312.0364,93,2.095996
-199.150831,104,2.183811
-110.981842,127,2.291914
-105.509776,66,2.346626
-263.857073,127,2.453896
-257.285549,78,2.51997
-88.247921,60,2.570982
-89.882165,62,2.624063
-67.762726,66,2.680306
-95.552511,68,2.746973
-132.671951,122,2.84976
-77.740927,82,3.431601
-74.044838,116,3.530374
-48.447054,88,3.604887
-232.872585,86,3.67884
-264.316237,110,3.772432
-79.477808,86,3.845362
-72.589473,58,3.894692
-40.892729,114,3.991721
-110.850374,98,4.073859
-88.883186,70,4.133777
-366.094286,142,4.253315
-72.215028,86,4.860123
-204.819867,102,5.364705
-117.412536,99,5.448513
-68.089344,74,5.511178
-176.97552,116,5.608894
-178.589462,114,5.705455
-101.538029,69,5.763406
-102.815127,81,5.832652
-120.315134,68,5.890515
-192.193678,112,5.984902
-138.314239,110,6.077603
-250.445948,90,6.668375
-208.915904,104,6.755824
-320.044102,127,6.861764
-76.86606,81,6.930072
-67.922327,147,7.053875
-169.760147,110,7.146853
-89.1988,136,7.26192
-224.376445,134,7.375674
-147.547807,150,8.021161
-288.005713,111,8.113669
-159.476428,118,8.212981
-97.664867,110,8.305537
-76.379651,85,8.377394
-84.232534,75,8.440989
-175.218553,106,8.52978
-121.90897,128,8.637376
-382.19151,141,8.756079
-60.916623,68,8.813001
-93.398631,82,9.339606
-81.108373,105,9.973772
-29.428173,97,10.045498
-66.637926,185,10.182596
-84.464062,105,10.261984
-261.241781,93,10.332967
-256.810816,182,10.467853
-127.295017,109,10.549464
-67.003085,87,10.614148
-50.9817,86,11.197109
-85.751235,152,11.325903
-125.214696,110,11.41928
-152.871601,91,11.495696
-182.312806,125,11.601958
-78.501942,105,11.690502
-67.557362,102,11.776786
-44.232563,86,11.84917
-128.211948,100,11.933595
-225.56509,138,12.524303
-190.890774,161,12.63998
-36.096176,157,12.751777
-250.907497,113,12.831206
-138.272415,212,12.98303
-257.210019,117,13.083567
-30.113137,121,13.185267
-132.134693,162,13.861485
-259.739813,141,14.548492
-326.173436,194,14.716037
-163.690943,125,14.824283
-65.547894,97,14.906531
12.936845,139,15.025082
-30.820117,176,15.172531
-65.144551,116,15.791779
-88.204202,186,15.948371
-31.675859,148,16.07239
-73.202383,165,16.210294
16.824893,136,16.323734
16.145897,110,16.418947
-29.490612,117,16.518971
-46.112105,186,17.207906
16.801605,134,17.323905
-26.248086,218,17.511166
-125.789602,171,17.656357
8.938474,128,17.766652
-180.434883,181,17.919176
-79.400066,240,18.679462
-54.542248,144,19.452979
8.636724,160,19.568544
-8.459482,138,19.66861
-183.657164,181,19.800889
-83.260811,125,19.891027
-45.242432,153,20.000805
-2.132641,217,20.649865
-44.318379,207,20.798693
-39.25835,242,20.971869
-0.378286,114,21.054866
-20.468869,154,21.168904
-43.003017,169,21.833573
-32.360124,230,22.033782
28.942165,103,22.123216
6.566583,144,22.24711
-53.962331,181,22.402085
49.375594,168,22.542668
-5.351456,208,23.199192
73.52612,1000,25.087568
-26.582385,168,25.228752
153.780157,1000,26.614641
-33.616113,180,26.769849
1.509516,275,27.004436
-36.710566,259,27.227644
-14.082966,274,27.915845
2.771384,321,28.771191
-89.031292,291,28.992099
-8.527563,277,29.677273
-65.886067,450,30.020369
-28.789999,365,30.298871
78.056377,1000,31.484106
-126.385998,244,32.138502
-39.484849,162,32.260707
-56.787435,247,33.231263
3.41979,1000,34.50398
57.761589,1000,35.725821
80.810503,718,36.698165
-12.459713,1000,39.347612
-77.564453,1000,40.515133
-107.489391,1000,41.207169
-14.856513,1000,43.796093
-79.425288,1000,45.135966
-8.744045,1000,46.471301
-65.109289,1000,49.020065
-22.916312,1000,50.190651
123.400436,929,51.300029
-19.852827,1000,53.841837
15.858664,1000,55.189019
-50.185321,1000,56.528785
-62.534662,1000,59.236057
4.689342,1000,60.419598
6.931294,1000,61.707324
-0.111098,1000,63.021576
29.690834,1000,65.740026
38.840453,1000,67.125999
66.725369,1000,68.408501
27.553866,1000,71.004073
84.705939,1000,72.241971
145.096666,688,73.243471
29.745623,1000,75.803758
110.645655,829,76.398463
46.582292,1000,77.573531
61.172036,1000,80.035455
47.553564,1000,81.280952
79.544988,1000,82.498626
-71.779723,714,83.525582
37.885697,1000,86.231661
91.767076,1000,87.499588
68.188335,1000,88.834917
139.608993,636,91.223523
157.463648,722,91.851994
-103.825068,543,92.844162
184.22461,599,93.363556
149.184841,710,94.521569
56.718309,1000,97.238691
149.72044,705,98.401304
48.236474,1000,99.6997
67.455693,1000,102.100912
