#{"t_start": 1770588543.3116775, "env_id": "LunarLander-v3"}
r,l,t
-164.069111,105,0.739656
-80.551349,54,0.784766
-141.997274,117,0.883973
-189.271841,129,0.992743
-223.275443,95,1.072666
-162.073,88,1.147436
-270.554963,76,1.21161
-186.830545,79,1.277306
-112.885348,85,1.349828
-64.140241,68,1.407879
-163.293819,85,1.480933
-178.549826,67,2.049782
-155.03744,121,2.151659
-78.939941,71,2.211979
-132.40913,86,2.284077
-133.696195,97,2.365988
-84.707319,109,2.457999
-129.668881,93,2.537368
-194.731418,85,2.609109
-263.32129,125,2.723952
-14.027669,137,2.840087
-93.378434,74,2.902614
-125.732436,106,3.504509
-330.188196,123,3.609761
-91.462791,63,3.662916
-119.271199,117,3.763289
-113.736773,102,3.850232
-62.167271,69,3.909259
-265.04222,82,3.977861
-188.774976,118,4.077965
-118.565856,74,4.141052
-273.207979,126,4.246958
-100.467547,100,5.284014
-79.459963,83,5.354178
-90.120795,85,5.425885
-106.746569,93,5.504426
-54.791082,75,5.567235
-89.942756,109,5.659584
-338.112947,161,5.79611
-118.693801,87,5.87011
-79.305316,70,5.929509
-114.727367,105,6.01881
-47.132168,85,6.091397
-14.844356,79,6.671667
-315.543765,145,6.792411
-171.137843,163,6.929245
-78.287444,78,6.995726
-107.834325,78,7.061184
-94.008326,77,7.125889
-116.774963,84,7.196942
-36.323984,78,7.263519
-100.693961,126,7.369437
-91.41432,77,7.434586
-226.770496,113,8.049193
-220.582253,144,8.169854
-42.1777,70,8.228995
-81.628289,74,8.291083
-99.58572,129,8.400614
-137.128271,87,8.473618
-281.707128,128,8.580773
-53.470564,94,8.660154
-57.428921,100,8.743796
-427.500076,132,8.854445
-168.499372,124,9.963254
-69.237359,141,10.069361
-119.390761,133,10.166947
18.892727,90,10.234557
-102.509976,119,10.324831
-47.282098,143,10.430703
-87.390987,85,10.494837
-37.231454,98,10.567341
-23.768061,134,11.184782
-34.871135,154,11.314847
-63.503617,168,11.457296
-80.468214,90,11.534851
-401.221578,135,11.648637
-244.644852,166,11.788109
-106.175647,101,11.874216
-82.176118,86,11.945839
-61.627653,133,12.53132
-37.741018,124,12.620705
-35.644994,92,12.685185
-208.940371,221,12.842345
-63.385126,136,12.93953
-280.638524,112,13.028593
79.733023,1000,14.98708
-275.368112,128,15.096047
-150.16308,154,15.225666
-162.779135,147,15.869776
-68.732889,111,15.963276
-43.024818,225,16.150622
-309.702016,176,16.298205
-76.994208,114,16.395879
-21.404502,192,16.560504
-238.270907,203,17.264545
-22.015173,168,17.408884
4.787171,115,17.507827
57.747944,135,17.623019
-46.115965,127,17.730811
-28.366383,115,17.829652
-17.041088,130,17.939206
-34.571003,226,18.687886
15.219033,165,19.47478
-52.711256,173,19.600127
-259.417567,179,19.730513
1.530838,175,19.857342
-213.419019,243,20.526222
24.651749,143,20.628021
-36.235503,203,20.774941
-47.306335,157,20.886402
-165.270582,182,21.017621
-60.827461,221,21.180407
-16.404661,130,21.813112
37.833071,136,21.932356
-27.776589,134,22.048262
-6.895222,170,22.195733
0.152822,169,22.341122
-60.592945,189,22.499442
-92.080614,329,23.265999
-6.675885,169,23.873345
24.986996,173,24.023224
-158.685507,246,24.238493
-38.804105,178,24.395173
-340.297864,412,25.295327
1.735567,175,25.446979
-178.00638,328,25.733359
-152.320329,777,26.924141
-1.879348,218,27.110634
-84.043453,255,27.330239
103.180443,1000,29.169781
74.202628,1000,30.405007
-126.371618,346,31.109653
-133.396657,299,31.325647
-4.86115,404,31.633745
-40.618559,335,32.34906
-27.632679,326,33.398752
-19.882837,278,33.641292
0.894283,280,34.319792
-28.803569,1000,35.545995
40.715419,1000,36.725621
165.369629,923,39.318482
58.379382,1000,40.021197
-110.101905,1000,41.179658
-51.281699,1000,43.763424
-70.442152,1000,45.102955
-6.632687,1000,46.43829
-59.398062,1000,48.992281
-19.536334,1000,50.162418
-44.030981,1000,51.322163
-55.670731,1000,53.868339
3.518143,1000,55.215264
-47.497139,1000,56.555266
-70.068522,1000,59.258397
-146.345734,976,60.425876
-23.777244,1000,61.714398
44.270978,1000,63.028716
14.443262,1000,65.747468
29.020607,1000,67.133447
58.746443,1000,68.414774
29.108907,1000,71.009925
32.553272,1000,72.248042
57.500411,1000,73.489397
148.694292,695,75.814557
56.722112,1000,76.99335
54.551499,1000,78.178893
76.813025,1000,80.655029
67.763171,1000,81.906926
48.438176,1000,83.125988
134.2122,758,83.697077
132.787458,662,86.137299
50.282342,1000,87.41881
161.567683,892,88.643636
68.290188,1000,91.35768
211.978774,533,91.814897
66.598028,1000,93.206832
121.323805,715,94.354255
54.649355,1000,97.084356
183.315636,633,98.1836
-36.469094,606,98.700248
-67.687555,632,99.69048
-75.054545,581,100.124689
178.948984,608,102.235282
