#{"t_start": 1770588543.3142958, "env_id": "LunarLander-v3"}
r,l,t
-261.537638,83,0.718053
-121.299341,101,0.803776
-145.874316,82,0.872578
-112.241792,95,0.952891
-99.574659,103,1.039967
-124.113244,70,1.09888
-167.254938,114,1.195375
-67.493751,99,1.278611
-127.437323,70,1.338193
-94.196399,88,1.413068
-210.812654,73,1.475703
-113.065933,79,2.055858
-132.189592,68,2.11257
-311.437007,108,2.203071
-99.463022,90,2.278852
-117.540077,84,2.35038
-209.19877,120,2.450807
-291.540894,115,2.549311
-59.169173,71,2.609591
-275.668495,119,2.710301
-61.17272,79,2.785871
-127.45176,106,2.875743
-163.806464,117,3.486588
-105.786954,67,3.544219
-64.376376,88,3.61916
-87.926242,59,3.669241
49.440477,90,3.745787
-82.450933,106,3.836496
-100.368248,71,3.897169
-133.819309,93,3.97581
-111.254252,160,4.111567
-113.836306,71,4.171363
-138.981635,129,4.279889
-222.338745,102,5.317996
-127.88533,113,5.413306
-81.215076,64,5.468278
-173.862859,108,5.558756
-119.776515,77,5.624336
-172.53585,112,5.719725
-203.19003,102,5.805974
-127.305098,89,5.881612
-96.618986,67,5.938254
-238.956598,118,6.037741
-82.536871,123,6.656113
-146.520277,166,6.795317
-99.028442,125,6.900483
-77.865114,96,6.981642
-226.825848,117,7.079592
-155.246666,97,7.16257
-79.760863,77,7.227365
-52.936875,64,7.281007
-79.591864,75,7.343973
-262.446406,140,7.462545
-141.411558,141,8.100029
-259.069658,125,8.204862
-87.397681,80,8.27294
-215.285331,130,8.382863
-55.282038,87,8.455671
-105.69803,123,8.559072
-67.761545,100,8.643036
-133.62884,108,8.733268
-97.680487,126,8.839131
-109.673686,140,9.962176
-286.587673,139,10.065931
-169.53727,162,10.186697
-201.600276,94,10.256211
-106.544314,80,10.316608
-99.42568,170,10.444289
-66.083183,89,10.510824
-123.445218,105,10.587994
39.056117,133,11.208434
-62.126427,84,11.278372
-31.790979,150,11.405447
-270.917727,128,11.515191
-152.612739,127,11.622177
-95.490108,97,11.703582
-80.269128,119,11.804026
-115.455388,70,11.863776
-19.134848,121,11.967147
-88.751679,94,12.519112
-74.681779,125,12.609377
-56.016895,151,12.716333
-87.443065,86,12.778193
-46.643683,140,12.877977
-18.259235,136,12.974362
-218.026297,108,13.066618
-195.721625,159,13.201733
-104.419463,76,13.267194
-230.271236,169,13.94857
-0.909053,159,14.651134
-47.224179,169,14.796414
-71.610425,156,14.930222
-122.403106,128,15.039328
-87.489219,158,15.171789
-110.693655,91,15.248577
-196.195212,132,15.880926
-133.167099,179,16.03038
-28.29571,190,16.189554
-248.919154,201,16.358482
-73.044535,149,16.486708
-5.361748,118,16.588381
-4.964232,135,17.233427
-185.027985,210,17.414523
-100.140412,156,17.549289
-35.299213,243,17.755447
-104.470685,196,17.921747
-8.077468,130,18.031435
-235.624271,171,18.734513
-267.451556,223,19.555659
-165.660242,225,19.719014
35.908384,240,19.893622
-224.299007,192,20.525617
12.019454,203,20.670084
-7.883602,110,20.750586
-245.425283,184,20.880855
-9.40885,130,20.974493
67.577991,1000,22.324728
-174.706004,201,22.493339
-18.0841,148,22.61691
-45.624181,205,23.281216
-19.408608,157,23.878049
-39.291735,201,24.052779
-122.106149,200,24.227044
-72.882198,256,24.452641
-3.297586,1000,25.864937
-73.672366,237,26.588314
-25.110839,327,26.869678
8.007523,221,27.058475
31.771638,183,27.21593
119.378813,1000,29.069552
-82.371635,359,29.814382
-18.459718,312,30.054535
80.71111,1000,31.249017
91.87688,1000,33.254354
-165.19713,382,33.583417
-166.814094,502,34.435245
79.220806,1000,35.661261
-87.902795,566,36.058998
29.615432,1000,38.689163
-58.286801,1000,39.875784
-35.92584,1000,41.039208
-86.848117,1000,43.598196
8.448695,1000,44.936126
-18.148647,1000,46.271923
-52.362335,1000,48.849935
-65.339938,1000,50.019391
-12.851996,1000,51.180759
107.750951,925,52.261803
-6.938108,1000,54.9894
5.138702,1000,56.327908
-41.763704,1000,57.652432
-88.398807,1000,60.245669
-5.438611,1000,61.506313
116.277607,933,62.767702
142.253592,809,65.314933
23.961076,1000,66.694008
-132.795059,886,67.44295
-115.37615,874,69.952158
56.111775,1000,71.190974
76.760426,1000,72.440429
82.044243,1000,73.677971
84.143645,1000,76.207214
145.150392,628,77.119877
78.064974,1000,78.310501
112.360754,711,80.095188
156.184546,692,81.098595
54.093445,1000,82.329296
68.710745,1000,83.56699
-65.795266,698,86.014169
73.03848,1000,87.314564
48.602002,1000,88.617211
54.845606,1000,91.332596
147.891356,614,91.862126
62.290065,1000,93.251769
87.770733,1000,94.658344
67.187122,1000,97.374832
72.7277,1000,98.781822
73.470275,1000,100.039447
65.615879,1000,102.446184
