#{"t_start": 1770588651.1528175, "env_id": "SectorCREnv-v0"}
r,l,t
-23.856169,81,105.177837
-7.36523,48,105.392157
-15.188833,73,105.719668
-3.645754,44,105.909768
-105.473395,177,106.692515
-16.067176,86,107.07019
-3.203136,45,107.274789
-71.664629,90,107.673119
-28.054046,49,107.886979
-4.924479,41,108.086232
-22.658415,92,108.492537
-99.558216,182,109.286204
-65.818015,200,110.119182
-11.08439,154,110.802493
-10.48539,88,111.46387
-67.570629,113,111.97641
-11.439523,43,112.183774
-0.456746,11,112.247486
-8.192464,24,112.359715
-2.692946,21,112.455744
-1.08871,26,112.58806
-14.908381,57,112.836801
